username,password,employee_number
mgarcia1,pixXqIOX,1
alim2,7VJF8H@X,2
baquino3,<'<Z%[mg,3
ireyes4,KJ0.4Q(#,4
ehernandez5,v@iQx80/,5
avillanueva6,"Y""7sz2r6",6
bsan jose7,""":gHdV{W",7
aromualdez8,`7?[0ZM@,8
ratienza9,8*Fh&{!',9
ralvaro10,"q,X|zx6s",10
asalcedo11,}<B|$-zL,11
jlopez12,"ae*_,&89",12
mfarala13,GoE)1Pb5,13
lmartinez14,s$pDI>+p,14
fromualdez15,DA!!Sv1M,15
cmata16,"N@'3Lpi""",16
sde leon17,uke-gjWb,17
asan jose18,S1!GSo3O,18
crosario19,MQ$C\eeZ,19
mbautista20,<rd&=5lp,20
dlazaro21,qQW?]QQN,21
kdelos santos22,[|bfQzd-,22
vsantos23,"R}4h,kK9",23
tdel rosario24,W_UklkDY,24
jtolentino25,1;u68$]q,25
pgutierrez26,]IN['|>c,26
gmanalaysay27,AM\I`;l6,27
lvillegas28,2UJT89RT,28
cramos29,J?v01dDu,29
emaceda30,e_kdbmb0,30
daguilar31,5kZ4{}b&,31
jcastro32,lh6QSf!X,32
cmartinez33,&(^{8%[I,33
bsantos34,"~a[[""mD?",34
